kg_frac,drop_frac,inject_frac,auc_mean,auc_std,f1_mean,f1_std,time_mean,time_std,mem_mean,mem_std
0.25,0.0,0.0,0.9994666666666667,0.0004012326685614825,0.9853948370439596,0.005032750683025778,3.4174514800019096,0.400956189130484,2007.54140625,305.09297841162163
0.25,0.05,0.0,0.9991111111111112,0.0009140872800534525,0.9867018848064208,0.009116960276890048,4.194705100002466,2.2525267851693167,2074.25859375,148.40710971797733
0.25,0.1,0.0,0.9984177777777777,0.0010015296942153472,0.983423485607872,0.007071974644587849,3.2231334400043123,0.041117556685018465,2074.06640625,142.87066929512307
0.5,0.0,0.0,0.9995022222222222,0.000895199819062386,0.994706343530439,0.003763923076290197,3.759256920000189,0.7953847054946189,2098.02265625,61.79464969375525
0.5,0.05,0.0,0.9993244444444445,0.0007352836019582304,0.9887787038938136,0.006806850421279341,3.7675287600024605,0.7778365571997147,2100.13984375,59.29646625764918
0.5,0.1,0.0,0.9994222222222222,0.00040612593072216087,0.9893375553002306,0.002830293120245155,4.37564736000204,1.484777843803811,2083.696875,88.1791514402257
0.75,0.0,0.0,0.9994044444444444,0.000319876519385689,0.9900241578784865,0.006245150537760716,3.8365481799992267,0.301464512791336,2117.33984375,50.99351946477888
0.75,0.05,0.0,0.9996622222222221,0.00031047554127232286,0.9913576378957558,0.0029925829774580842,4.3775453000009295,1.1029283876945881,2091.2296875,80.57048651599608
0.75,0.1,0.0,0.9997777777777778,0.000121716123890048,0.9926908538807748,0.003639814497545913,4.187555080000311,0.8546769096242726,2104.39140625,56.538291338270675
1.0,0.0,0.0,0.9994666666666667,0.0008960820068291245,0.992668807725531,0.0015107260607328198,4.726361059996998,0.7124102539896364,2094.1609375,79.42569673909217
1.0,0.05,0.0,0.999751111111111,0.00027143878194849514,0.9907106703835578,0.004892546184009089,3.851503680003225,0.10461967432041165,2120.94609375,49.78917155676609
1.0,0.1,0.0,0.9995733333333334,0.0004761989417237169,0.9927305022861089,0.003603319348081737,3.779747939997469,0.03387161976513389,2126.1171875,49.06780946029617
