seed,kg_frac,drop_frac,inject_frac,triples,nodes,edges,auc,f1,slice_time_s,run_time_s,peak_rss_mb
45,0.75,0.0,0.0,496822,27464,94451,0.9993777777777778,0.9900990099009901,8.763516499995603,3.653514299992821,2151.52734375
45,0.75,0.05,0.0,494702,27356,92331,0.9992444444444445,0.9866666666666667,9.847123700004886,3.631767700004275,2150.328125
45,0.75,0.1,0.0,491944,27134,89573,0.9998222222222223,0.9900332225913622,8.810946199999307,3.5597620000044117,2149.375
45,1.0,0.0,0.0,513435,28180,111064,0.9998666666666667,0.9933333333333333,8.829702499991981,5.404113199998392,2092.47265625
45,1.0,0.05,0.0,510156,28071,107785,0.9998666666666666,0.9933774834437086,8.10195609999937,3.746436100002029,2158.1171875
45,1.0,0.1,0.0,506877,27918,104506,0.9989333333333333,0.9900990099009901,8.932349499998963,3.749091199992108,2158.7578125
46,0.25,0.0,0.0,464263,24001,61892,0.9995555555555555,0.9833887043189369,9.709666800001287,3.233298500010278,2144.609375
46,0.25,0.05,0.0,463292,23818,60921,0.9983555555555556,0.9834983498349835,8.46731209999416,3.1582366000075126,2143.890625
46,0.25,0.1,0.0,462614,23638,60243,0.9977333333333334,0.9802631578947368,8.481255699996836,3.171481900004437,2125.6953125
46,0.5,0.0,0.0,480782,26324,78411,0.9997777777777778,0.9933774834437086,9.435583600003156,3.355842200006009,2127.32421875
46,0.5,0.05,0.0,478798,26080,76427,0.9994222222222222,0.9900990099009901,8.697766099998262,3.448595900001237,2135.86328125
46,0.5,0.1,0.0,477218,25930,74847,0.9990666666666668,0.9865771812080537,8.64970120000362,3.3867915000009816,2130.59375
46,0.75,0.0,0.0,496897,27541,94526,0.9995555555555555,0.9899665551839465,10.00689410000632,3.8186322999972617,2134.3125
46,0.75,0.05,0.0,494653,27287,92282,0.9994666666666666,0.9900332225913622,8.816446700002416,3.5220297000050778,2133.80859375
46,0.75,0.1,0.0,491989,27170,89618,0.9997777777777778,0.9966777408637874,8.69098670000676,3.605875900000683,2134.8046875
46,1.0,0.0,0.0,513435,28180,111064,0.9999111111111111,0.9933774834437086,11.309884300004342,4.237669199996162,2135.73046875
46,1.0,0.05,0.0,510156,28052,107785,0.9992888888888889,0.9834983498349835,8.97339140000986,3.8036582000058843,2138.109375
46,1.0,0.1,0.0,506877,27948,104506,0.9992,0.9900990099009901,9.852109200000996,3.807758199996897,2135.671875
