seed,kg_frac,drop_frac,inject_frac,triples,nodes,edges,auc,f1,slice_time_s,run_time_s,peak_rss_mb
42,0.25,0.0,0.0,464171,24042,61800,0.9996444444444444,0.9868421052631579,7.691150300001027,4.132792599993991,1461.9765625
42,0.25,0.05,0.0,463440,23800,61069,0.9996444444444444,0.9966777408637874,8.388274999990244,3.2091276999999536,1808.859375
42,0.25,0.1,0.0,462811,23776,60440,0.9978222222222222,0.9833887043189369,8.828939799990621,3.2061498000111897,1819.359375
42,0.5,0.0,0.0,480602,26233,78231,0.9979111111111112,0.9900990099009901,8.204199600004358,3.3980124999943655,2005.38671875
42,0.5,0.05,0.0,479021,26133,76650,0.9997333333333334,0.9933774834437086,8.223578799996176,3.369596599994111,2005.87890625
42,0.5,0.1,0.0,477451,25943,75080,0.9991111111111111,0.9900332225913622,8.227100999996765,4.914325000005192,1931.56640625
42,0.75,0.0,0.0,497175,27482,94804,0.9991111111111111,0.9933774834437086,8.389362100002472,3.698424600006547,2027.2421875
42,0.75,0.05,0.0,494499,27334,92128,0.999688888888889,0.9933333333333333,8.545097399997758,5.403006299995468,1953.3125
42,0.75,0.1,0.0,492256,27205,89885,0.9999555555555555,0.9900990099009901,7.957965699999477,3.526515199991991,2031.26171875
42,1.0,0.0,0.0,513435,28180,111064,0.9978666666666667,0.9899665551839465,8.867302600003313,5.554577599992626,1958.03515625
42,1.0,0.05,0.0,510156,28063,107785,0.9998222222222223,0.9899665551839465,8.15340070000093,3.828785000005155,2034.41015625
42,1.0,0.1,0.0,506877,27931,104506,0.9998222222222223,0.9900990099009901,10.089913200004958,3.7490165999915916,2039.6015625
43,0.25,0.0,0.0,464174,23995,61803,0.9999555555555555,0.9933333333333333,8.79439990001265,3.2004779999988386,2155.9375
43,0.25,0.05,0.0,463572,23926,61201,0.999688888888889,0.9866666666666667,8.56294479999633,3.1663521000009496,2144.34765625
43,0.25,0.1,0.0,462620,23686,60249,0.9990666666666668,0.9733333333333334,8.543693300001905,3.2184826000011526,2145.77734375
43,0.5,0.0,0.0,480512,26226,78141,1.0,1.0,9.63514369999757,3.445186199998716,2148.6796875
