Dataset,Baseline,Accuracy,Accuracy,Precision,Precision,Recall,Recall,F1-Score,F1-Score,AUC,AUC
,,mean,std,mean,std,mean,std,mean,std,mean,std
Breast Cancer,LR,0.9421052631578947,0.018189860836252392,0.887894060374539,0.060924618701254006,0.9714285714285713,0.031043820977155464,0.925951517568951,0.019958879576375873,0.9951719576719575,0.004537779336749884
Breast Cancer,LightGBM,0.9614035087719298,0.011768778828946301,0.9362330623306233,0.027434858662003868,0.9619047619047618,0.036108930685959786,0.9482518805246215,0.01632482980003496,0.9941137566137567,0.003655559154877098
Breast Cancer,RF,0.9157894736842106,0.027460483934207927,0.8238040922365076,0.048519233185026385,0.9857142857142858,0.013041013273932558,0.8968543726726693,0.029732068535637195,0.9918650793650794,0.0063881408607193374
Breast Cancer,XGBoost,0.9280701754385966,0.011437197202109941,0.8459122315592904,0.028198000259653997,0.9857142857142858,0.021295885499998047,0.9100381571001099,0.012910213901804659,0.994047619047619,0.0026966776505125277
